Samples	Class	1,2-anhydro-myo-inositol	1-hexadecanol	2-hydroxyglutaric acid	2-isopropylmalic acid	2-ketoisocaproic acid	3,6-anhydrogalactose	3-hydroxy-3-methylglutaric acid	4-hydroxyproline	alanine	alpha ketoglutaric acid	arabinose	arabitol	arachidic acid	asparagine	aspartic acid	behenic acid	benzoic acid	beta alanine	butyl stearate	caffeic acid	cellobiose	cis-caffeic acid	citramalate	citric acid	citrulline	conduritol-beta-epoxide	cysteine	dehydroascorbate	erythritol	fructose	fucose	GABA	galactinol	galactonic acid	galactose	galacturonic acid	glucoheptulose	gluconic acid	glucose	glucuronic acid	glutamic acid	glyceric acid	glycerol	glycerol-3-galactoside NIST	glycerol-alpha-phosphate	glycine	guanine	heptadecanoic acid	homoserine	indole-3-lactate	inositol myo-	inulobiose	isocitric acid	isogalactinol	isoleucine	isothreonic acid	lactic acid	Lauric acid	leucine	lysine	lyxitol	malate	maleic acid	maltose	mannitol	melibiose	methionine	N-acetyl-D-hexosamine	N-acetyl-D-mannosamine	nicotianamine	octadecanol	Oleic acid	ornithine	oxoproline	palmitic acid	pelargonic acid	phenylalanine	pipecolic acid	proline	pseudo uridine	putrescine	quinic acid	ribonic acid	ribose	saccharopine	serine	shikimic acid	sophorose	sorbitol	spermidine	Stearic acid	suberyl glycine	succinic acid	talose	tartaric acid	threitol	threonic acid	threonine	trehalose	tryptophan	tyrosine	uracil	urea	uridine	valine	xanthine	xylitol	xylose
421815	White wine type and source:Chardonnay, Monterey, CA 2003	9166.00	3357.00	72039.00	6771.00	626.00	742.00	2240.00	19334.00	478120.00	3110.00	28582.00	6381.00	1428.00	17227.00	61443.00	1776.00	2661.00	19284.00	2591.00	1746.00	1801.00	2028.00	12077.00	125874.00	16154.00	47279.00	2100.00	9046.00	69878.00	69170.00	9907.00	394319.00	748.00	1349.00	16816.00	101930.00	2699.00	3613.00	223003.00	1682.00	18569.00	2720.00	794373.00	5636.00	1249.00	91473.00	683.00	2271.00	4613.00	2512.00	175678.00	511.00	5871.00	2047.00	19466.00	3391.00	132021.00	3249.00	71322.00	53261.00	3471.00	318578.00	343972.00	1578.00	112193.00	2299.00	5365.00	10287.00	12058.00	461.00	771.00	217.00	139812.00	541553.00	9056.00	4592.00	18698.00	9356.00	3061465.00	390.00	17024.00	2396.00	2024.00	5331.00	777.00	43945.00	58496.00	3186.00	68769.00	1132.00	50163.00	2497.00	760646.00	3877.00	353899.00	5232.00	5280.00	19235.00	598.00	1757.00	50184.00	8799.00	4173.00	202.00	46859.00	497.00	2878.00	15051.00
421819	White wine type and source:Chardonnay, Monterey, CA 2003	7901.00	2022.00	57029.00	5334.00	378.00	745.00	1678.00	17986.00	469770.00	2145.00	32463.00	5237.00	971.00	14739.00	48730.00	1581.00	2636.00	15068.00	1417.00	1986.00	1821.00	1095.00	9375.00	111466.00	13374.00	44697.00	851.00	7728.00	59866.00	62030.00	8627.00	323993.00	1053.00	1167.00	15751.00	104243.00	3071.00	3161.00	210785.00	1713.00	15065.00	2343.00	1248700.00	5442.00	1641.00	71630.00	566.00	2113.00	3521.00	2713.00	173304.00	810.00	4474.00	3396.00	14821.00	2897.00	142742.00	13527.00	59662.00	46366.00	3261.00	322119.00	334345.00	1690.00	108213.00	2744.00	4287.00	10044.00	10864.00	445.00	855.00	168.00	123212.00	411912.00	8496.00	6378.00	15432.00	7272.00	3260962.00	2889.00	14934.00	2109.00	1675.00	4376.00	694.00	31256.00	48925.00	3867.00	75020.00	1294.00	51839.00	2022.00	609492.00	2329.00	316328.00	6283.00	4442.00	16694.00	1432.00	1902.00	43085.00	4800.00	3440.00	76.00	36613.00	365.00	2634.00	14337.00
421824	White wine type and source:Chardonnay, Napa, CA 2003	9419.00	1328.00	40510.00	3178.00	414.00	1570.00	919.00	11001.00	186493.00	1100.00	35726.00	4323.00	1511.00	11961.00	28474.00	1989.00	3140.00	12017.00	1247.00	2578.00	12102.00	1100.00	20237.00	38030.00	1228.00	45101.00	2074.00	8378.00	56198.00	109086.00	12327.00	228642.00	1877.00	986.00	13963.00	103333.00	2658.00	574.00	255118.00	1703.00	10482.00	3089.00	951606.00	8992.00	438.00	77469.00	1260.00	2413.00	3868.00	720.00	235893.00	2074.00	3518.00	4444.00	32348.00	2937.00	1682812.00	14007.00	105278.00	64444.00	2839.00	15874.00	235018.00	2892.00	504908.00	10226.00	6247.00	11387.00	12236.00	561.00	808.00	95.00	9837.00	133393.00	12827.00	8706.00	22591.00	7472.00	2279543.00	3068.00	10360.00	5311.00	2129.00	6578.00	419.00	19702.00	43757.00	6117.00	73392.00	1503.00	73820.00	914.00	667532.00	2215.00	458379.00	7142.00	5731.00	14176.00	1989.00	2660.00	36842.00	9504.00	1546.00	29.00	53505.00	454.00	1900.00	30192.00
421828	White wine type and source:Chardonnay, Napa, CA 2003	9927.00	1254.00	43173.00	2881.00	677.00	1044.00	1950.00	9688.00	203756.00	1187.00	30549.00	4439.00	1696.00	2084.00	28906.00	2449.00	3846.00	12345.00	1319.00	2486.00	10563.00	1040.00	21865.00	37859.00	1252.00	45440.00	125.00	8756.00	63717.00	121794.00	14733.00	241849.00	1603.00	862.00	18226.00	106554.00	3742.00	561.00	280197.00	1794.00	10819.00	2602.00	1125374.00	8984.00	1526.00	81630.00	1458.00	2461.00	3787.00	960.00	256261.00	1623.00	3857.00	4453.00	32874.00	3097.00	1980790.00	7337.00	100339.00	66258.00	2989.00	16796.00	204008.00	3254.00	571575.00	8703.00	6328.00	10981.00	13788.00	437.00	682.00	262.00	10537.00	146025.00	8031.00	10395.00	22827.00	7224.00	1612217.00	2556.00	11156.00	5544.00	2575.00	6196.00	565.00	21018.00	51480.00	5430.00	73513.00	1641.00	58742.00	1123.00	638995.00	2047.00	492249.00	7120.00	5899.00	18092.00	2053.00	2217.00	39196.00	7076.00	3209.00	173.00	55355.00	550.00	1913.00	30652.00
421832	White wine type and source:Chardonnay, Napa, CA 2003	9378.00	1326.00	46142.00	3254.00	790.00	1647.00	2547.00	12430.00	185469.00	2028.00	37023.00	5718.00	2022.00	11586.00	35355.00	3147.00	8676.00	12162.00	11179.00	2166.00	9934.00	1319.00	24008.00	43062.00	1642.00	44687.00	776.00	8859.00	54858.00	119615.00	13958.00	225921.00	1816.00	1105.00	14603.00	109625.00	4013.00	811.00	251501.00	2035.00	10495.00	2562.00	877710.00	9739.00	999.00	79242.00	1604.00	2408.00	5288.00	1116.00	216208.00	1474.00	4211.00	3964.00	35678.00	3290.00	1399231.00	5013.00	114135.00	71592.00	2766.00	17970.00	241001.00	3264.00	490251.00	7916.00	7530.00	12147.00	13038.00	416.00	903.00	589.00	17112.00	159908.00	9312.00	15557.00	25836.00	6678.00	2423176.00	3076.00	11464.00	5746.00	2613.00	6883.00	630.00	26774.00	48075.00	5984.00	59471.00	1876.00	65393.00	1014.00	777718.00	2482.00	483561.00	7453.00	6695.00	18126.00	1969.00	2820.00	40806.00	12655.00	1549.00	318.00	56206.00	524.00	2078.00	31353.00
421836	White wine type and source:Chardonnay, Napa, CA 2003	11741.00	1345.00	55621.00	3807.00	574.00	1644.00	1930.00	11539.00	186988.00	1277.00	41911.00	4621.00	2363.00	10522.00	34377.00	3144.00	4998.00	14414.00	11703.00	2561.00	15398.00	2026.00	25760.00	50415.00	1787.00	49632.00	739.00	10012.00	68680.00	120409.00	14739.00	253155.00	2521.00	1344.00	16310.00	122069.00	4163.00	791.00	274325.00	11514.00	9804.00	1712.00	719328.00	11445.00	938.00	90754.00	1672.00	2377.00	4576.00	922.00	228170.00	1932.00	5145.00	5712.00	37618.00	3708.00	1542740.00	11016.00	116278.00	80386.00	3439.00	19353.00	223483.00	4518.00	524472.00	10667.00	7058.00	14305.00	16023.00	769.00	944.00	420.00	9076.00	185631.00	12184.00	15113.00	26423.00	8242.00	2116922.00	980.00	12579.00	5947.00	3009.00	7371.00	449.00	25415.00	53082.00	7013.00	78180.00	1791.00	88651.00	1766.00	725396.00	2289.00	519405.00	8133.00	7346.00	20280.00	2461.00	3100.00	45993.00	17084.00	1611.00	358.00	59160.00	755.00	2306.00	35049.00
421840	White wine type and source:Chardonnay, Napa, CA 2003	6150.00	1570.00	49772.00	3318.00	515.00	1428.00	1596.00	11694.00	169315.00	1882.00	40454.00	4582.00	2139.00	11406.00	36674.00	1931.00	4224.00	13523.00	10111.00	2494.00	12367.00	1652.00	25466.00	42852.00	1518.00	44390.00	443.00	9384.00	71035.00	107349.00	14930.00	251326.00	2347.00	1258.00	14561.00	100432.00	4036.00	730.00	238006.00	483.00	9869.00	1955.00	1468103.00	9644.00	653.00	88103.00	1737.00	2430.00	4779.00	904.00	213262.00	1931.00	4411.00	5030.00	35041.00	3490.00	1418056.00	15587.00	107231.00	71802.00	3125.00	19265.00	210682.00	3513.00	553353.00	1976.00	8009.00	12412.00	13906.00	691.00	791.00	484.00	10273.00	156538.00	10980.00	14926.00	26865.00	7396.00	1837996.00	904.00	11153.00	5552.00	2665.00	7137.00	651.00	27524.00	48707.00	7015.00	60832.00	1616.00	75517.00	1787.00	763905.00	4593.00	465658.00	7645.00	6972.00	22950.00	2194.00	2762.00	43803.00	16367.00	1554.00	508.00	57195.00	563.00	2558.00	30742.00
421844	White wine type and source:Chardonnay, Napa, CA 2003	9566.00	2343.00	49619.00	3365.00	545.00	1742.00	2459.00	13178.00	182887.00	2014.00	39814.00	5504.00	1782.00	13280.00	34892.00	2972.00	8194.00	13540.00	7561.00	2397.00	13628.00	1447.00	24565.00	44523.00	1472.00	52272.00	250.00	10441.00	63188.00	113726.00	14402.00	223000.00	2524.00	1306.00	16206.00	117879.00	4445.00	677.00	265311.00	9284.00	12151.00	2241.00	800586.00	10891.00	624.00	85272.00	1918.00	2426.00	4818.00	1229.00	222905.00	2385.00	4847.00	5208.00	37880.00	3550.00	1339283.00	5443.00	116516.00	80775.00	3070.00	18484.00	232542.00	3801.00	570245.00	11664.00	8452.00	11828.00	14878.00	854.00	844.00	527.00	13611.00	163356.00	11520.00	17144.00	28580.00	8453.00	2338418.00	4004.00	11867.00	5751.00	2769.00	6964.00	584.00	27302.00	51864.00	7146.00	74264.00	1849.00	66835.00	1522.00	774083.00	3216.00	495233.00	7854.00	6720.00	19335.00	2714.00	2944.00	46665.00	1522.00	1742.00	341.00	59129.00	659.00	1875.00	31926.00
421849	White wine type and source:Chardonnay, SE Australia, 2004	14063.00	2445.00	40223.00	2996.00	600.00	4227.00	2222.00	12318.00	285760.00	1960.00	86826.00	8462.00	1579.00	11918.00	31751.00	2978.00	3198.00	8407.00	4527.00	2262.00	14535.00	1224.00	12578.00	127784.00	10349.00	46447.00	537.00	6143.00	64858.00	401666.00	15726.00	179719.00	1517.00	1314.00	576665.00	191086.00	3208.00	5350.00	817509.00	3807.00	14703.00	3716.00	723261.00	9458.00	970.00	58191.00	274.00	2181.00	2935.00	579.00	196873.00	23775.00	5732.00	3545.00	12438.00	3634.00	188514.00	8708.00	46380.00	36139.00	2818.00	254830.00	88739.00	6461.00	117680.00	4666.00	3297.00	9310.00	9188.00	769.00	477.00	289.00	97644.00	247598.00	9066.00	12882.00	11769.00	10040.00	1809503.00	3502.00	15181.00	1742.00	2336.00	5600.00	549.00	31737.00	28492.00	7054.00	106459.00	550.00	66133.00	1395.00	510850.00	21739.00	305903.00	6687.00	5615.00	16926.00	6462.00	1837.00	32251.00	8340.00	2156.00	254.00	32445.00	336.00	2733.00	30466.00
421853	White wine type and source:Chardonnay, SE Australia, 2004	13735.00	2590.00	36266.00	2890.00	365.00	4256.00	1613.00	11252.00	286181.00	1407.00	83499.00	8055.00	997.00	10024.00	30000.00	1618.00	4042.00	7985.00	1033.00	2818.00	11391.00	819.00	12327.00	107457.00	7666.00	43665.00	32.00	5329.00	63092.00	384357.00	16917.00	197704.00	1301.00	1286.00	40276.00	191559.00	2694.00	4685.00	761051.00	3427.00	12574.00	3407.00	1040822.00	8185.00	1512.00	59278.00	209.00	1563.00	2242.00	454.00	191563.00	18930.00	4981.00	2284.00	12530.00	3579.00	246204.00	4660.00	44929.00	32459.00	2964.00	277514.00	64689.00	5511.00	101802.00	5254.00	3208.00	10584.00	7508.00	466.00	486.00	144.00	79801.00	251259.00	6107.00	6719.00	11934.00	7226.00	1826581.00	2001.00	15109.00	1534.00	2227.00	5113.00	261.00	28861.00	27209.00	5753.00	113401.00	399.00	36033.00	1415.00	615393.00	345472.00	282582.00	8121.00	5384.00	17330.00	4872.00	1283.00	28240.00	949.00	2195.00	54.00	32519.00	270.00	2872.00	25742.00
421857	White wine type and source:Chardonnay, SE Australia, 2004	12968.00	2206.00	38774.00	2762.00	542.00	4642.00	2367.00	9825.00	278703.00	1755.00	66592.00	8575.00	1564.00	11303.00	30522.00	2777.00	3441.00	8045.00	4611.00	1834.00	13036.00	1253.00	12395.00	119174.00	9969.00	45433.00	205.00	5733.00	59697.00	393964.00	16254.00	211115.00	1671.00	5190.00	524655.00	186818.00	3350.00	4996.00	813051.00	3489.00	14123.00	2885.00	735063.00	9222.00	860.00	55346.00	216.00	2152.00	2843.00	452.00	187919.00	21172.00	5490.00	2933.00	12165.00	3861.00	177479.00	9093.00	45481.00	35607.00	2942.00	256110.00	100908.00	6860.00	147561.00	5217.00	3112.00	10256.00	8626.00	841.00	686.00	231.00	87296.00	243902.00	8952.00	12705.00	11854.00	10208.00	1911732.00	494.00	14459.00	1830.00	2508.00	4985.00	300.00	32052.00	27082.00	7071.00	100423.00	529.00	68679.00	1472.00	499623.00	23663.00	318819.00	7165.00	5498.00	17714.00	6737.00	1571.00	32347.00	8142.00	1480.00	232.00	31840.00	401.00	2692.00	27510.00
421861	White wine type and source:Chardonnay, SE Australia, 2004	14254.00	2369.00	44869.00	3517.00	371.00	4954.00	2094.00	13939.00	336612.00	1744.00	96880.00	9924.00	1571.00	12468.00	39649.00	2614.00	3107.00	10162.00	4355.00	2500.00	16831.00	1538.00	14951.00	75851.00	9011.00	55637.00	1508.00	6446.00	71480.00	325501.00	17607.00	235730.00	1951.00	5663.00	44181.00	214248.00	3681.00	6131.00	722058.00	2563.00	19256.00	3215.00	485129.00	11871.00	1289.00	68780.00	286.00	2285.00	3351.00	509.00	219864.00	31293.00	6097.00	3645.00	14432.00	4485.00	238527.00	5436.00	54352.00	40724.00	3240.00	308401.00	115648.00	8144.00	78121.00	2359.00	3902.00	11659.00	9892.00	522.00	925.00	220.00	69815.00	290250.00	10634.00	15175.00	14348.00	12003.00	2154844.00	3824.00	16641.00	1798.00	2725.00	6104.00	447.00	38514.00	31968.00	8794.00	116267.00	867.00	67648.00	2727.00	700640.00	89592.00	331348.00	9217.00	6737.00	20734.00	8200.00	1766.00	39306.00	9035.00	2657.00	174.00	38367.00	384.00	3511.00	35976.00
421865	White wine type and source:Chardonnay, SE Australia, 2004	14189.00	2197.00	41038.00	3029.00	643.00	4592.00	1778.00	11870.00	321094.00	1697.00	90935.00	8536.00	1108.00	10283.00	33695.00	1862.00	4385.00	8500.00	1323.00	2152.00	10727.00	1240.00	13136.00	118838.00	9644.00	47058.00	2980.00	5650.00	67800.00	413941.00	17148.00	217252.00	1131.00	4586.00	32884.00	201155.00	3025.00	5409.00	812098.00	3554.00	13417.00	5549.00	567338.00	8392.00	1347.00	60520.00	202.00	1709.00	2376.00	467.00	210479.00	17371.00	5522.00	2111.00	12668.00	3913.00	238603.00	1865.00	48803.00	34122.00	3544.00	289886.00	81592.00	5148.00	129655.00	1684.00	3412.00	9871.00	8781.00	534.00	649.00	236.00	74708.00	260770.00	8574.00	12101.00	12063.00	8279.00	1940750.00	2321.00	16367.00	1673.00	2479.00	5571.00	467.00	30659.00	27339.00	5397.00	126365.00	565.00	43497.00	1174.00	642830.00	309816.00	245527.00	8259.00	6029.00	16800.00	4924.00	1271.00	31453.00	1337.00	2113.00	74.00	34351.00	275.00	3712.00	33401.00
421869	White wine type and source:Chardonnay, SE Australia, 2004	12584.00	1209.00	45497.00	3591.00	399.00	4743.00	2166.00	13890.00	323503.00	1875.00	90614.00	9168.00	1493.00	12333.00	38265.00	2208.00	2973.00	9073.00	4018.00	2066.00	13756.00	1463.00	14873.00	131450.00	10149.00	50519.00	28.00	6667.00	73802.00	272298.00	17646.00	234360.00	1405.00	1591.00	37104.00	206497.00	3286.00	5868.00	718344.00	3970.00	17027.00	3112.00	694654.00	9938.00	929.00	67578.00	259.00	2203.00	3197.00	492.00	204282.00	20149.00	5860.00	2954.00	14435.00	4325.00	245212.00	5695.00	51437.00	39958.00	3446.00	289752.00	118444.00	6670.00	85630.00	6340.00	4168.00	10494.00	9909.00	718.00	883.00	337.00	89947.00	296096.00	8553.00	14351.00	13667.00	11060.00	2015943.00	465.00	18367.00	1772.00	2849.00	6531.00	561.00	37540.00	31869.00	6315.00	126814.00	630.00	63458.00	2083.00	725466.00	94289.00	342808.00	9192.00	6242.00	21117.00	6382.00	1671.00	35495.00	9586.00	2168.00	223.00	36050.00	455.00	3720.00	39708.00
421874	White wine type and source:Elevage Blanc, Napa, CA 2004	10552.00	4185.00	160041.00	12673.00	675.00	3508.00	4239.00	6670.00	158776.00	11346.00	34512.00	6040.00	1764.00	11214.00	25719.00	3458.00	7089.00	3565.00	8995.00	1529.00	94086.00	849.00	20938.00	10893.00	812.00	31460.00	1650.00	45840.00	101370.00	191451.00	20657.00	50270.00	3517.00	1021.00	15459.00	83338.00	3495.00	1075.00	218925.00	8134.00	8158.00	4563.00	1192997.00	10393.00	4046.00	57397.00	993.00	3063.00	4239.00	654.00	309368.00	1203.00	6539.00	4668.00	28583.00	3661.00	1116599.00	9595.00	94141.00	59970.00	7343.00	12813.00	116847.00	14547.00	229274.00	15680.00	6173.00	11949.00	11680.00	448.00	1325.00	593.00	5586.00	81665.00	19282.00	21770.00	20287.00	13179.00	1012950.00	1748.00	27368.00	3326.00	3056.00	8545.00	701.00	21126.00	21015.00	29115.00	80819.00	644.00	156567.00	2666.00	2053126.00	2493.00	724284.00	17957.00	13145.00	13552.00	28030.00	2518.00	28559.00	22265.00	3215.00	273.00	42246.00	3288.00	3357.00	21853.00
421878	White wine type and source:Elevage Blanc, Napa, CA 2004	10102.00	4879.00	164087.00	13423.00	1227.00	3988.00	4059.00	5998.00	136243.00	10229.00	12907.00	5748.00	2473.00	10655.00	28086.00	2406.00	10583.00	3056.00	1150.00	1821.00	91499.00	908.00	21699.00	11270.00	871.00	31767.00	6053.00	49805.00	115405.00	189623.00	17672.00	52823.00	2947.00	1058.00	19063.00	90144.00	3371.00	1049.00	232729.00	1886.00	8668.00	5322.00	1469607.00	9424.00	3461.00	59835.00	877.00	2630.00	4656.00	640.00	307466.00	1217.00	6225.00	4143.00	27942.00	3922.00	1114097.00	9683.00	93153.00	64528.00	6674.00	13135.00	119869.00	13163.00	143644.00	4356.00	6666.00	13529.00	11697.00	655.00	1705.00	176.00	8129.00	78292.00	18928.00	20131.00	21910.00	13175.00	1033299.00	1571.00	25611.00	2790.00	2922.00	9106.00	1235.00	18546.00	25267.00	24840.00	89304.00	798.00	162337.00	1192.00	1834396.00	5440.00	732060.00	17502.00	12197.00	12116.00	25953.00	2762.00	27503.00	16681.00	2509.00	144.00	41858.00	3044.00	3382.00	24121.00
421882	White wine type and source:Elevage Blanc, Napa, CA 2004	10163.00	2192.00	162999.00	12515.00	1374.00	3868.00	1005.00	6055.00	150344.00	10206.00	33835.00	5979.00	2199.00	13709.00	28473.00	2470.00	11727.00	2951.00	819.00	2706.00	87850.00	1410.00	20334.00	12409.00	500.00	30646.00	7074.00	46637.00	101407.00	194595.00	20930.00	51512.00	3161.00	1299.00	14719.00	85829.00	3349.00	1061.00	215190.00	731.00	9154.00	3735.00	1243982.00	8666.00	4028.00	58700.00	774.00	3446.00	3323.00	663.00	304016.00	1260.00	5879.00	4176.00	31285.00	3705.00	1204169.00	7245.00	94106.00	62028.00	8188.00	12683.00	116564.00	14828.00	160923.00	4435.00	5152.00	15492.00	12225.00	486.00	456.00	214.00	5745.00	79033.00	13009.00	19472.00	20119.00	11737.00	998985.00	1801.00	33196.00	2951.00	3227.00	9169.00	880.00	22726.00	23603.00	25844.00	85567.00	660.00	135352.00	1081.00	2065886.00	2090.00	707742.00	18551.00	13159.00	16376.00	28026.00	2396.00	28590.00	18759.00	5256.00	301.00	49137.00	2589.00	3349.00	23157.00
421886	White wine type and source:Elevage Blanc, Napa, CA 2004	7517.00	2406.00	127097.00	10763.00	875.00	2992.00	2869.00	6198.00	141471.00	7994.00	27305.00	2924.00	2439.00	7796.00	23493.00	2073.00	7910.00	2757.00	3602.00	1077.00	48376.00	728.00	16665.00	7853.00	710.00	24298.00	4740.00	34754.00	95897.00	152398.00	13670.00	43311.00	1380.00	699.00	13747.00	66233.00	1832.00	716.00	192879.00	1309.00	6165.00	4758.00	2143908.00	6201.00	1522.00	46915.00	472.00	2193.00	3516.00	460.00	277515.00	1243.00	4711.00	1970.00	22107.00	3104.00	1321639.00	6861.00	84321.00	47089.00	5278.00	10709.00	78828.00	7210.00	132275.00	6760.00	5524.00	8656.00	7965.00	543.00	1384.00	317.00	6594.00	59768.00	16648.00	40190.00	16939.00	11004.00	866897.00	1414.00	19621.00	2324.00	2398.00	7387.00	603.00	14624.00	15907.00	12047.00	70218.00	418.00	121759.00	1155.00	1948256.00	1162.00	596590.00	13828.00	10451.00	15559.00	12472.00	1726.00	20051.00	14094.00	1501.00	206.00	34246.00	2006.00	2818.00	18100.00
421890	White wine type and source:Elevage Blanc, Napa, CA 2004	8213.00	3048.00	133173.00	11185.00	719.00	2908.00	3187.00	6079.00	141068.00	7498.00	30729.00	5851.00	1352.00	8701.00	23765.00	2649.00	7921.00	3177.00	1013.00	1080.00	58483.00	867.00	15908.00	8665.00	857.00	25330.00	4224.00	36369.00	89042.00	160746.00	14412.00	44204.00	2030.00	945.00	14698.00	71751.00	2349.00	860.00	188709.00	1469.00	6948.00	6655.00	2036326.00	6583.00	2091.00	47406.00	659.00	2310.00	3550.00	590.00	293430.00	771.00	3873.00	2627.00	22838.00	3011.00	1275655.00	8437.00	83879.00	49248.00	5300.00	10012.00	87038.00	9580.00	163827.00	8969.00	5557.00	9971.00	9598.00	548.00	1483.00	362.00	7914.00	62189.00	18552.00	16791.00	18858.00	10523.00	897109.00	1198.00	20972.00	2157.00	2422.00	7695.00	1032.00	13890.00	17151.00	16834.00	69545.00	543.00	127623.00	1309.00	1966959.00	2750.00	579104.00	14253.00	10653.00	13693.00	17480.00	1926.00	21229.00	17118.00	1924.00	254.00	33125.00	2108.00	3166.00	19411.00
421649	White wine type and source:Fume Blanc, Napa, CA 2004	9457.00	1580.00	140005.00	10785.00	1018.00	2711.00	3153.00	6158.00	158179.00	6905.00	23967.00	4453.00	2435.00	9474.00	22801.00	1952.00	9741.00	3120.00	2913.00	1278.00	64621.00	908.00	16535.00	7916.00	567.00	28886.00	4515.00	26994.00	98632.00	130697.00	13184.00	47888.00	2305.00	672.00	14680.00	75681.00	2658.00	1049.00	219525.00	747.00	6908.00	3378.00	1373613.00	10644.00	2852.00	51557.00	587.00	3429.00	2876.00	719.00	371594.00	1351.00	5271.00	3314.00	23625.00	3541.00	1482561.00	11376.00	86737.00	54092.00	5513.00	11188.00	97270.00	11309.00	159023.00	9291.00	5568.00	11104.00	11021.00	538.00	882.00	181.00	5420.00	65624.00	14738.00	30204.00	18166.00	11389.00	1010523.00	1701.00	24295.00	1811.00	2561.00	9507.00	787.00	13766.00	20223.00	21157.00	98198.00	655.00	102441.00	1598.00	1939981.00	3905.00	708352.00	15020.00	10878.00	6734.00	21369.00	3376.00	20911.00	12158.00	2926.00	252.00	37377.00	1691.00	3596.00	16156.00
421653	White wine type and source:Fume Blanc, Napa, CA 2004	10639.00	1915.00	132151.00	10191.00	873.00	2553.00	3265.00	5157.00	137134.00	6588.00	23384.00	4796.00	2851.00	9148.00	21742.00	2415.00	5380.00	3256.00	1674.00	1598.00	80261.00	780.00	16561.00	8117.00	570.00	30145.00	5112.00	25300.00	99400.00	140485.00	14462.00	47188.00	3294.00	1365.00	12292.00	78810.00	3114.00	1160.00	227142.00	679.00	7879.00	4040.00	1715074.00	11339.00	1282.00	48911.00	719.00	3715.00	3317.00	895.00	368862.00	1596.00	4342.00	4685.00	21702.00	3303.00	1395568.00	6995.00	74308.00	53822.00	6092.00	10127.00	70663.00	13678.00	180974.00	11611.00	5604.00	11694.00	11602.00	695.00	1104.00	401.00	3779.00	64671.00	20095.00	20457.00	18697.00	10903.00	764956.00	1454.00	24245.00	1894.00	2818.00	9748.00	710.00	12706.00	20241.00	25051.00	115496.00	573.00	132560.00	1263.00	1907071.00	3165.00	693928.00	13983.00	11017.00	10412.00	26444.00	3588.00	23397.00	12448.00	2302.00	197.00	33953.00	1581.00	3285.00	15330.00
421657	White wine type and source:Fume Blanc, Napa, CA 2004	10696.00	766.00	154172.00	12449.00	836.00	3170.00	4157.00	10350.00	141394.00	10050.00	21498.00	6595.00	2058.00	10799.00	24465.00	3384.00	18182.00	3369.00	22726.00	1634.00	87747.00	1179.00	20796.00	10053.00	769.00	28764.00	458.00	30766.00	107529.00	136348.00	20583.00	56406.00	4078.00	1108.00	16010.00	88716.00	3578.00	1322.00	236038.00	1925.00	8218.00	5702.00	1562661.00	13614.00	2689.00	54895.00	885.00	3756.00	4000.00	744.00	333746.00	1212.00	5630.00	4988.00	27699.00	4256.00	971538.00	9025.00	80901.00	58991.00	8572.00	12137.00	117367.00	16228.00	233825.00	9745.00	4848.00	16144.00	14238.00	511.00	730.00	863.00	3243.00	87918.00	20104.00	49893.00	18248.00	11520.00	759612.00	2330.00	34822.00	2273.00	3446.00	10792.00	762.00	22259.00	22878.00	28215.00	106318.00	558.00	183149.00	2913.00	2053812.00	2912.00	749441.00	17163.00	13051.00	13025.00	30153.00	3901.00	26511.00	19039.00	4064.00	194.00	45346.00	2277.00	3274.00	18160.00
421661	White wine type and source:Fume Blanc, Napa, CA 2004	10098.00	5430.00	157794.00	12362.00	1094.00	3553.00	4456.00	6872.00	143372.00	8783.00	26055.00	5563.00	1745.00	10145.00	27691.00	3276.00	17117.00	3118.00	10068.00	1339.00	76227.00	900.00	20127.00	10204.00	1189.00	35193.00	4166.00	29043.00	106915.00	139885.00	15144.00	55506.00	2951.00	1281.00	20568.00	92471.00	3472.00	1427.00	241071.00	2806.00	8397.00	5435.00	1184800.00	13519.00	2779.00	58162.00	794.00	2133.00	4303.00	668.00	340712.00	1191.00	6495.00	3919.00	26426.00	3897.00	1148020.00	10002.00	92198.00	59614.00	6130.00	12402.00	111928.00	13316.00	151006.00	12029.00	6508.00	15468.00	12816.00	627.00	2726.00	682.00	8883.00	83207.00	23356.00	39455.00	20157.00	12963.00	1018878.00	2083.00	25005.00	2340.00	3171.00	10535.00	474.00	17407.00	24264.00	24090.00	99848.00	794.00	178985.00	1705.00	2077901.00	1687.00	749809.00	16331.00	13229.00	12929.00	25227.00	4023.00	26284.00	16255.00	2576.00	226.00	38879.00	2309.00	3803.00	17885.00
